id,title,description,provider,delivery_mode,cost_gbp,cost_category,duration,duration_category,access,education_outcome,target_audience,category,sub_theme,url,asset_category,review_status,image_url
1,Alcohol Identification and brief advice,"The Alcohol Identification and Brief Advice e-learning project (Alcohol IBA) helps professionals with identifying those individuals whose drinking might be impacting on their health and delivering simple, structured advice. Courses cover delivering alcohol IBA in 4 settings: Primary Care, Community Pharmacy , Hospitals and dental practices.",eLfH,Online,0,Free,0,Less than a day,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Inclusion Groups""]","[""Alcohol and/or Drugs""]",https://portal.e-lfh.org.uk/myElearning/Catalogue/Index?HierarchyId=0_41&programmeId=41,"[""Course""]",Approved,
2,Behavior Change Literacy - individual learners,"Behavior Change Literacy - individual learners


The aim of this session is to provide a first step on your journey to understanding the meaning of behaviour change, why it is important and how it can be implemented.
It will include practical examples showing where behaviour change can be demonstrated and signposts to resources where you can learn more.",eLfH,Online,0,Free,0,Less than a day,Register for an eLfH account,Not Applicable,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Behaviour Change""]",https://portal.e-lfh.org.uk/Component/Details/789564,"[""Course""]",Approved,
3,"Cultural Competence, Intersectionality and Cultural Safety programme","The Cultural Competence e-learning tool is designed to support clinicians in the NHS to gain knowledge and understanding of the issues around culture and health and how this might influence healthcare outcomes.

Being Culturally Competent is not only about respecting and appreciating the cultural contexts of patients’ lives. Neither is it a one-size-fits-all approach – it’s about understanding the way we deliver health care and respond to the needs of our diverse population.
Cultural competence is a key aspect of providing both quality and safety care. This is why health professionals need to be aware and gain understanding of the key issues relating to culture and how this may influence the uptake of health care and treatment options. Developing this knowledge and understanding will influence the way we give care and could have an impact on reducing disparities in health care outcomes.",eLfH,Online,0,Free,0,Less than a day,Register for an eLfH account,Not Applicable,"[""All""]","[""Culture"", ""Health Inclusion Groups""]","[""Competency"", ""Cultural Awareness"", ""Safety""]",https://portal.e-lfh.org.uk/Component/Details/789406,"[""Course""]",Approved,
4,Handling Difficult Conversations,"the most common mistakes we make when having a difficult conversation and how to avoid them
effective preparation for a difficult conversation
the importance of listening
key communication skills
how to stay calm and defuse the situation
how to get to the root of the problem
how to negotiate and agree a way forward.",Leeds Health and Care Academy,Online,0,Free,2 hours,Less than a day,Register on website,Certificate of completion,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Difficult Conversations""]",https://leedshealthandcarelearningportal.org/course/view.php?id=100,"[""Course""]",Approved,
5,The science of nutrition and health eating,"After studying this course, you should be able to:

demonstrate and understand how food is processed and then used in the body
apply knowledge to understand healthy eating advice and identify how it varies in different countries
make sense of food labels and perform basic calculations of energy in food
describe and know about food allergies and intolerances
describe and understand possible reasons for the current obesity epidemic.",The Open University,Online or Face to Face,0,Free,weeks,Less than a year,Register on website,CPD Credits,"[""All""]","[""Health Prevention"", ""Health Promotion""]","[""Healthy Eating""]",https://www.open.edu/openlearn/health-sports-psychology/health/the-science-nutrition-and-healthy-eating/content-section-overview?active-tab=description-tab,"[""Course""]",Approved,
6,Breast feeding and relationship building,"Breast feeding and relationship building
This two day course fulfils the training requirements of the UNICEF UK Baby Friendly Initiative and you will cover:

The knowledge and skills to support mothers to breastfeed for as long as they want
How to encourage responsive and loving mother baby and family relationships whatever the chosen feeding method",Leeds City Council,Online,0,TBC,TBC,Less than a day,Register on website,Not Applicable,"[""All""]","[""Health Promotion""]","[""Breast Feeding""]",https://www.eventbrite.com/cc/breastfeeding-training-2530799,"[""Course""]",Approved,
7,"Adversity, Trauma and Resilience (ATR) Tier 1: Trauma Informed Practice","Adversity, Trauma and Resilience (ATR) Tier 1: Trauma Informed Practice
Join us for an engaging session on Tier: 1 Trauma-informed Practice in Bradford. This session will equip you with valuable insights and practical strategies to support individuals affected by trauma. Led by experienced professionals, this training promises an interactive and informative learning experience.
Communication.",Bradford Trident,Online or Face to Face,0,Free,0,Less than a day,Register on website,Not Applicable,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Adversity"", ""Resilience"", ""Trauma""]",https://bradfordtrident.co.uk/adversity-trauma-resilience-atr-workforce-development-project-2/,"[""Course""]",Approved,
8,Workplace culture,"The different types of workplace culture
The building blocks to positive workplace culture such as values, policies and leadership
The warning signs of a toxic workplace culture
The impact of bullying and harassment
Strategies to deal with bullying and harassment",Leeds Health and Care Academy,Online,0,Free,40 mins,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Culture""]","[""Workplace Culture""]",https://leedshealthandcarelearningportal.org/course/view.php?id=187,"[""Course""]",Approved,
9,Working with Interpreters in a mental health setting,"Working with Interpreters in a mental health setting
You will gain the confidence to use interpreters well, learning practical and technical tips, discovering:

How to get the best out of your interpreter - an interpreter can be a voice and a consultant of cultural contexts.
How to manage an appointment with a 3rd person in involved.
How to have an efficient appointment.
Managing boundaries when you have interpreter.",Solace,Online or Face to Face,0,Free,2.5 hours,Less than a day,Register on website,Certificate of completion,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Translation Services""]",https://www.solace-uk.org.uk/training/specialist_training/working-with-interpreters-in-a-mental-health-setting,"[""Course""]",Approved,
10,Working with Cultural Literacy and Safeguarding Children,"To provide an opportunity to explore personal influences and good practice when working with children and their families from a range of cultural backgrounds, and exploring how these impact safeguarding",National FGM Centre,Face to Face,695,Paid,"1/2 day, full day, 2 days",Various,Register on website,CPD Credits,"[""All""]","[""Safeguarding""]","[""Children and young people"", ""Cultural Literacy""]",https://nationalfgmcentre.org.uk/wp-content/uploads/2022/09/NFGMC-Training-Booklet.pdf,"[""Course""]",Approved,
